student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,Gender,School_Type,Internet_Access,Grade_Category,Pass_Flag,Subject_Average,Attendance_Rate
10783,16,female,public,phd,1.0,91.9,yes,30-60 min,no,mixed,41.3,42.9,40.4,44.7,e,Female,Public,Yes,E,Fail,41.53333333333333,91.9
10784,16,other,private,diploma,7.4,90.3,yes,15-30 min,yes,mixed,91.1,88.3,97.0,90.0,b,Other,Private,Yes,B,Pass,92.13333333333333,90.3
10785,18,male,public,diploma,3.7,66.3,yes,>60 min,yes,textbook,71.4,58.2,70.5,52.4,e,Male,Public,Yes,E,Fail,66.7,66.3
10786,19,male,public,graduate,3.9,50.1,yes,30-60 min,no,notes,54.3,63.9,47.0,44.4,e,Male,Public,Yes,E,Fail,55.06666666666666,50.1
10787,14,male,private,post graduate,7.1,81.4,yes,>60 min,yes,coaching,85.5,77.9,96.5,81.0,c,Male,Private,Yes,C,Pass,86.63333333333333,81.4
10788,16,male,private,post graduate,2.0,97.4,no,>60 min,no,coaching,40.9,68.2,46.2,55.0,d,Male,Private,No,D,Pass,51.76666666666667,97.4
10789,14,male,public,phd,2.8,94.4,no,>60 min,yes,textbook,69.3,70.9,71.3,69.2,d,Male,Public,No,D,Pass,70.5,94.4
10790,16,female,private,graduate,6.9,50.2,yes,>60 min,no,group study,85.6,60.0,62.8,77.3,c,Female,Private,Yes,C,Pass,69.46666666666665,50.2
10791,17,other,private,phd,4.4,95.2,yes,30-60 min,no,coaching,53.5,67.3,58.6,64.7,d,Other,Private,Yes,D,Pass,59.800000000000004,95.2
10792,16,female,private,graduate,3.7,50.5,yes,15-30 min,yes,online videos,47.9,50.5,64.1,52.0,e,Female,Private,Yes,E,Fail,54.166666666666664,50.5
10793,15,female,private,graduate,7.7,76.6,yes,15-30 min,no,coaching,84.7,100.0,81.1,86.1,b,Female,Private,Yes,B,Pass,88.59999999999998,76.6
10794,15,male,public,graduate,7.2,92.6,yes,30-60 min,no,textbook,90.1,86.8,88.5,96.8,a,Male,Public,Yes,A,Pass,88.46666666666665,92.6
10795,15,male,public,diploma,7.2,70.8,yes,30-60 min,yes,online videos,85.7,72.8,68.5,78.6,c,Male,Public,Yes,C,Pass,75.66666666666667,70.8
10796,15,female,private,high school,2.1,84.2,no,<15 min,no,coaching,56.6,36.2,56.2,47.9,e,Female,Private,No,E,Fail,49.666666666666664,84.2
10797,16,male,private,diploma,6.8,61.6,yes,30-60 min,yes,online videos,72.3,89.0,87.4,80.6,c,Male,Private,Yes,C,Pass,82.9,61.6
10798,18,other,public,graduate,5.4,98.5,no,30-60 min,yes,group study,64.1,74.4,74.8,74.6,c,Other,Public,No,C,Pass,71.10000000000001,98.5
10799,14,female,public,graduate,5.7,52.2,no,15-30 min,yes,mixed,69.6,74.4,70.7,70.3,c,Female,Public,No,C,Pass,71.56666666666666,52.2
10800,14,female,private,no formal,0.9,81.6,no,<15 min,no,mixed,39.2,41.0,21.3,35.7,f,Female,Private,No,F,Fail,33.833333333333336,81.6
10801,17,male,private,post graduate,4.7,51.7,yes,30-60 min,yes,notes,74.2,33.1,47.6,55.3,d,Male,Private,Yes,D,Pass,51.63333333333333,51.7
10802,18,male,public,post graduate,2.1,52.1,yes,>60 min,no,online videos,42.2,18.3,49.8,42.0,e,Male,Public,Yes,E,Fail,36.766666666666666,52.1
10803,15,male,public,graduate,7.5,63.5,yes,>60 min,no,coaching,78.0,93.2,83.4,81.7,c,Male,Public,Yes,C,Pass,84.86666666666666,63.5
10804,15,other,private,diploma,4.7,50.8,yes,30-60 min,no,group study,40.4,41.4,49.4,48.3,e,Other,Private,Yes,E,Fail,43.73333333333333,50.8
10805,17,female,public,graduate,5.1,60.4,yes,30-60 min,no,notes,58.4,63.0,63.2,56.6,d,Female,Public,Yes,D,Pass,61.53333333333334,60.4
10806,16,other,public,graduate,2.3,57.7,yes,<15 min,yes,group study,46.6,49.7,45.1,49.3,e,Other,Public,Yes,E,Fail,47.13333333333333,57.7
10807,18,female,public,diploma,3.7,95.6,no,15-30 min,no,mixed,78.7,89.1,86.6,70.9,c,Female,Public,No,C,Pass,84.8,95.6
10808,14,other,public,phd,4.5,52.1,yes,30-60 min,yes,group study,60.8,57.5,44.4,58.7,d,Other,Public,Yes,D,Pass,54.23333333333333,52.1
10809,14,other,private,no formal,6.6,80.6,yes,<15 min,no,notes,90.8,100.0,99.7,91.7,b,Other,Private,Yes,B,Pass,96.83333333333333,80.6
10810,17,male,public,diploma,5.1,83.5,yes,15-30 min,no,group study,74.5,84.3,90.0,83.8,c,Male,Public,Yes,C,Pass,82.93333333333334,83.5
10811,16,male,public,diploma,1.3,91.1,yes,<15 min,no,group study,51.0,48.8,50.0,46.6,e,Male,Public,Yes,E,Fail,49.93333333333334,91.1
10812,18,other,private,no formal,3.9,68.4,yes,>60 min,no,coaching,62.8,60.5,40.3,64.3,d,Other,Private,Yes,D,Pass,54.53333333333333,68.4
10813,17,male,private,no formal,2.7,59.1,yes,<15 min,no,notes,45.1,39.4,42.6,38.2,f,Male,Private,Yes,F,Fail,42.36666666666667,59.1
10814,16,other,private,phd,4.5,56.1,yes,30-60 min,no,online videos,41.6,51.5,49.9,55.9,d,Other,Private,Yes,D,Pass,47.666666666666664,56.1
10815,14,female,public,post graduate,4.0,57.1,yes,30-60 min,no,coaching,56.6,42.9,67.8,53.5,e,Female,Public,Yes,E,Fail,55.76666666666667,57.1
10816,14,other,private,diploma,0.7,76.2,yes,<15 min,no,group study,40.8,28.5,23.8,33.1,f,Other,Private,Yes,F,Fail,31.03333333333333,76.2
10817,18,male,private,high school,2.1,79.8,yes,15-30 min,no,online videos,46.6,42.9,53.0,46.2,e,Male,Private,Yes,E,Fail,47.5,79.8
10818,15,male,private,diploma,5.5,89.4,yes,>60 min,no,notes,86.1,82.9,72.2,77.7,c,Male,Private,Yes,C,Pass,80.39999999999999,89.4
10819,17,female,public,post graduate,4.6,90.2,yes,30-60 min,yes,mixed,79.8,63.1,59.1,75.7,c,Female,Public,Yes,C,Pass,67.33333333333333,90.2
10820,18,male,public,high school,0.9,92.1,yes,>60 min,no,textbook,27.9,19.7,32.8,34.1,f,Male,Public,Yes,F,Fail,26.799999999999997,92.1
10821,19,male,private,no formal,5.0,58.0,yes,<15 min,yes,textbook,48.5,65.5,66.2,60.0,d,Male,Private,Yes,D,Pass,60.06666666666666,58.0
10822,15,female,public,diploma,4.3,87.3,yes,30-60 min,yes,online videos,82.8,72.0,70.7,72.9,c,Female,Public,Yes,C,Pass,75.16666666666667,87.3
10823,14,male,public,graduate,1.6,53.6,yes,30-60 min,yes,group study,30.4,52.0,36.6,36.1,f,Male,Public,Yes,F,Fail,39.666666666666664,53.6
10824,18,male,public,graduate,0.5,94.0,yes,>60 min,yes,coaching,39.2,26.2,43.7,40.5,e,Male,Public,Yes,E,Fail,36.36666666666667,94.0
10825,18,other,private,high school,3.0,76.3,yes,30-60 min,yes,group study,42.4,43.0,53.8,47.7,e,Other,Private,Yes,E,Fail,46.4,76.3
10826,15,male,public,phd,6.3,82.1,yes,15-30 min,no,notes,92.5,97.0,72.7,81.9,c,Male,Public,Yes,C,Pass,87.39999999999999,82.1
10827,17,other,public,graduate,1.5,81.0,yes,<15 min,yes,group study,25.6,31.0,64.4,48.3,e,Other,Public,Yes,E,Fail,40.333333333333336,81.0
10828,15,other,private,post graduate,7.6,77.9,yes,15-30 min,no,textbook,100.0,98.5,86.9,93.4,b,Other,Private,Yes,B,Pass,95.13333333333333,77.9
10829,18,other,private,phd,4.6,76.2,yes,<15 min,yes,online videos,56.6,62.5,66.1,62.0,d,Other,Private,Yes,D,Pass,61.73333333333333,76.2
10830,18,male,public,graduate,6.2,96.1,no,>60 min,yes,notes,100.0,95.0,100.0,87.0,b,Male,Public,No,B,Pass,98.33333333333333,96.1
10831,15,male,private,graduate,7.8,67.4,yes,<15 min,yes,notes,96.7,95.9,79.1,87.6,b,Male,Private,Yes,B,Pass,90.56666666666668,67.4
10832,16,other,private,post graduate,2.5,88.9,yes,15-30 min,yes,notes,39.2,37.1,51.3,47.2,e,Other,Private,Yes,E,Fail,42.53333333333334,88.9
10833,16,male,public,post graduate,4.9,68.1,yes,<15 min,yes,mixed,74.4,73.6,52.3,58.8,d,Male,Public,Yes,D,Pass,66.76666666666667,68.1
10834,14,female,private,phd,3.1,52.3,yes,>60 min,yes,mixed,33.2,41.0,28.6,39.6,f,Female,Private,Yes,F,Fail,34.26666666666667,52.3
10835,14,female,public,post graduate,1.1,68.9,yes,15-30 min,yes,textbook,50.6,47.4,58.3,44.7,e,Female,Public,Yes,E,Fail,52.1,68.9
10836,19,other,private,no formal,6.5,57.5,yes,>60 min,yes,coaching,83.8,83.9,79.5,79.2,c,Other,Private,Yes,C,Pass,82.39999999999999,57.5
10837,16,other,public,diploma,0.6,72.0,yes,30-60 min,no,coaching,50.0,34.9,26.0,28.1,f,Other,Public,Yes,F,Fail,36.96666666666667,72.0
10838,14,male,public,graduate,7.0,54.1,yes,30-60 min,yes,textbook,76.9,74.1,82.6,86.3,b,Male,Public,Yes,B,Pass,77.86666666666666,54.1
10839,14,female,public,diploma,6.5,89.3,yes,>60 min,no,coaching,68.2,95.2,88.3,92.2,b,Female,Public,Yes,B,Pass,83.89999999999999,89.3
10840,16,female,private,no formal,5.3,79.5,yes,>60 min,no,notes,66.2,81.3,61.0,77.9,c,Female,Private,Yes,C,Pass,69.5,79.5
10841,19,other,private,high school,4.9,51.9,yes,>60 min,yes,notes,69.6,62.6,81.9,69.5,d,Other,Private,Yes,D,Pass,71.36666666666666,51.9
10842,16,female,private,high school,6.8,82.3,yes,>60 min,no,notes,75.6,90.6,93.1,86.2,b,Female,Private,Yes,B,Pass,86.43333333333332,82.3
10843,19,male,private,no formal,0.9,97.7,yes,>60 min,no,mixed,32.8,48.3,27.2,46.8,e,Male,Private,Yes,E,Fail,36.1,97.7
10844,16,other,private,post graduate,6.0,53.2,yes,15-30 min,no,group study,69.5,59.5,74.1,72.9,c,Other,Private,Yes,C,Pass,67.7,53.2
10845,18,female,public,diploma,1.9,67.8,no,<15 min,yes,notes,60.3,55.5,56.4,50.9,e,Female,Public,No,E,Fail,57.4,67.8
10846,18,male,private,post graduate,0.7,94.7,no,15-30 min,yes,online videos,22.0,44.9,52.8,51.0,e,Male,Private,No,E,Fail,39.9,94.7
10847,14,male,private,phd,2.8,51.7,no,<15 min,yes,notes,48.3,61.0,53.1,46.6,e,Male,Private,No,E,Fail,54.13333333333333,51.7
10848,14,male,public,phd,3.0,95.9,yes,>60 min,no,notes,71.5,70.6,79.3,69.8,d,Male,Public,Yes,D,Pass,73.8,95.9
10849,19,other,private,phd,1.9,99.4,yes,30-60 min,yes,notes,59.8,41.3,51.1,51.9,e,Other,Private,Yes,E,Fail,50.73333333333333,99.4
10850,19,other,private,diploma,5.8,69.5,yes,30-60 min,yes,online videos,64.3,83.1,77.2,74.8,c,Other,Private,Yes,C,Pass,74.86666666666666,69.5
10851,14,female,public,high school,4.7,73.2,yes,30-60 min,no,group study,89.4,61.1,65.9,72.2,c,Female,Public,Yes,C,Pass,72.13333333333334,73.2
10852,17,male,private,no formal,7.4,99.4,yes,15-30 min,no,group study,91.3,94.8,100.0,89.5,b,Male,Private,Yes,B,Pass,95.36666666666667,99.4
10853,19,other,private,graduate,6.2,53.0,yes,>60 min,yes,mixed,80.3,68.7,94.8,76.1,c,Other,Private,Yes,C,Pass,81.26666666666667,53.0
10854,19,female,private,no formal,6.7,65.9,yes,<15 min,yes,mixed,76.5,85.1,74.7,81.7,c,Female,Private,Yes,C,Pass,78.76666666666667,65.9
10855,15,female,public,high school,7.3,53.2,yes,>60 min,yes,notes,94.9,65.2,83.4,83.6,c,Female,Public,Yes,C,Pass,81.16666666666667,53.2
10856,18,male,private,high school,6.5,87.3,yes,15-30 min,yes,textbook,100.0,77.2,86.2,94.4,b,Male,Private,Yes,B,Pass,87.8,87.3
10857,17,other,public,high school,1.4,82.6,yes,15-30 min,yes,group study,40.0,54.9,56.3,43.2,e,Other,Public,Yes,E,Fail,50.4,82.6
10858,19,male,private,diploma,1.9,93.2,yes,15-30 min,yes,textbook,50.4,57.4,52.3,47.7,e,Male,Private,Yes,E,Fail,53.36666666666667,93.2
10859,14,female,private,high school,3.5,59.5,no,>60 min,yes,online videos,67.2,67.3,60.6,61.1,d,Female,Private,No,D,Pass,65.03333333333333,59.5
10860,17,female,public,graduate,3.0,77.3,yes,15-30 min,yes,online videos,77.6,74.1,71.7,63.4,d,Female,Public,Yes,D,Pass,74.46666666666665,77.3
10861,14,female,private,phd,7.1,85.7,yes,<15 min,yes,group study,98.6,83.7,81.7,88.5,b,Female,Private,Yes,B,Pass,88.0,85.7
10862,16,female,public,graduate,4.4,64.1,yes,>60 min,yes,notes,56.8,43.7,47.4,51.6,e,Female,Public,Yes,E,Fail,49.300000000000004,64.1
10863,14,female,private,post graduate,7.1,94.5,yes,>60 min,yes,notes,98.0,84.8,84.2,92.1,b,Female,Private,Yes,B,Pass,89.0,94.5
10864,16,female,private,no formal,3.4,59.9,yes,>60 min,yes,online videos,52.3,38.8,54.9,43.4,e,Female,Private,Yes,E,Fail,48.666666666666664,59.9
10865,18,female,private,no formal,7.3,55.9,yes,15-30 min,yes,group study,81.3,82.8,63.8,71.0,c,Female,Private,Yes,C,Pass,75.96666666666665,55.9
10866,17,female,private,high school,1.0,64.0,yes,15-30 min,no,textbook,43.7,29.5,23.7,33.1,f,Female,Private,Yes,F,Fail,32.300000000000004,64.0
10867,15,other,public,phd,3.8,89.9,yes,15-30 min,yes,online videos,56.2,53.1,70.9,61.7,d,Other,Public,Yes,D,Pass,60.06666666666667,89.9
10868,16,other,private,high school,7.3,85.7,no,>60 min,no,mixed,100.0,97.2,68.5,92.2,b,Other,Private,No,B,Pass,88.56666666666666,85.7
10869,16,male,private,phd,3.9,94.6,yes,30-60 min,no,online videos,72.8,63.6,71.4,69.6,d,Male,Private,Yes,D,Pass,69.26666666666667,94.6
10870,18,other,public,post graduate,6.0,80.8,yes,30-60 min,yes,mixed,87.9,82.9,85.9,82.3,c,Other,Public,Yes,C,Pass,85.56666666666668,80.8
10871,15,male,public,post graduate,3.2,95.9,yes,>60 min,yes,online videos,67.3,67.1,62.9,57.5,d,Male,Public,Yes,D,Pass,65.76666666666667,95.9
10872,14,male,private,high school,6.7,77.2,yes,>60 min,yes,coaching,93.1,86.2,75.0,87.1,b,Male,Private,Yes,B,Pass,84.76666666666667,77.2
10873,17,female,private,no formal,5.2,95.9,yes,<15 min,yes,textbook,95.2,88.1,93.2,85.7,b,Female,Private,Yes,B,Pass,92.16666666666667,95.9
10874,18,male,private,high school,6.6,93.5,no,15-30 min,yes,coaching,85.2,99.1,69.5,91.1,b,Male,Private,No,B,Pass,84.60000000000001,93.5
10875,16,female,public,phd,4.5,73.7,yes,>60 min,no,coaching,75.2,81.9,70.0,74.5,c,Female,Public,Yes,C,Pass,75.7,73.7
10876,15,male,private,diploma,5.3,50.3,yes,15-30 min,no,textbook,62.9,55.5,60.0,62.6,d,Male,Private,Yes,D,Pass,59.46666666666667,50.3
10877,14,female,public,diploma,4.5,99.3,yes,15-30 min,yes,textbook,95.3,77.9,100.0,85.6,b,Female,Public,Yes,B,Pass,91.06666666666666,99.3
10878,19,other,public,high school,4.8,74.9,yes,15-30 min,no,group study,70.2,59.6,68.0,69.1,d,Other,Public,Yes,D,Pass,65.93333333333334,74.9
10879,18,other,public,diploma,5.7,87.0,yes,30-60 min,yes,online videos,89.0,88.6,100.0,86.6,b,Other,Public,Yes,B,Pass,92.53333333333335,87.0
10880,14,female,public,diploma,1.4,72.6,yes,30-60 min,no,coaching,51.6,46.9,54.6,48.8,e,Female,Public,Yes,E,Fail,51.03333333333333,72.6
10881,14,male,public,post graduate,6.3,68.1,yes,15-30 min,yes,mixed,85.0,75.7,97.1,71.0,c,Male,Public,Yes,C,Pass,85.93333333333332,68.1
10882,14,other,private,post graduate,3.2,67.9,yes,15-30 min,yes,coaching,31.8,45.1,53.9,58.3,d,Other,Private,Yes,D,Pass,43.6,67.9
10883,16,male,private,diploma,0.6,67.8,no,<15 min,yes,textbook,42.8,31.2,36.1,38.4,f,Male,Private,No,F,Fail,36.699999999999996,67.8
10884,18,female,private,diploma,5.3,79.0,yes,15-30 min,no,group study,64.1,77.1,80.0,67.7,d,Female,Private,Yes,D,Pass,73.73333333333333,79.0
10885,14,male,private,diploma,5.1,90.4,yes,15-30 min,no,online videos,58.4,73.6,85.7,76.1,c,Male,Private,Yes,C,Pass,72.56666666666666,90.4
10886,18,female,public,high school,5.9,78.5,yes,30-60 min,yes,mixed,73.3,82.0,92.2,83.9,c,Female,Public,Yes,C,Pass,82.5,78.5
10887,14,male,public,no formal,8.0,76.3,yes,<15 min,yes,group study,75.9,73.6,92.8,86.6,b,Male,Public,Yes,B,Pass,80.76666666666667,76.3
10888,18,other,private,high school,4.0,65.3,yes,>60 min,yes,textbook,49.5,62.3,54.1,53.6,e,Other,Private,Yes,E,Fail,55.300000000000004,65.3
10889,15,male,private,no formal,7.8,73.1,yes,15-30 min,no,notes,76.7,93.3,70.7,84.9,c,Male,Private,Yes,C,Pass,80.23333333333333,73.1
10890,19,female,public,no formal,4.8,59.0,no,30-60 min,no,coaching,58.1,60.7,43.9,57.5,d,Female,Public,No,D,Pass,54.23333333333334,59.0
10891,16,female,public,high school,3.2,87.2,yes,15-30 min,no,online videos,68.5,49.0,64.7,60.7,d,Female,Public,Yes,D,Pass,60.73333333333333,87.2
10892,15,female,public,phd,5.6,89.2,yes,30-60 min,no,textbook,75.6,82.7,61.3,73.9,c,Female,Public,Yes,C,Pass,73.2,89.2
10893,15,female,private,high school,2.0,61.9,yes,>60 min,no,notes,28.4,16.0,41.9,35.3,f,Female,Private,Yes,F,Fail,28.766666666666666,61.9
10894,18,male,public,post graduate,7.7,78.4,no,<15 min,no,textbook,89.0,86.5,85.2,87.0,b,Male,Public,No,B,Pass,86.89999999999999,78.4
10895,16,other,public,no formal,3.8,64.2,yes,15-30 min,yes,textbook,70.4,61.4,76.8,64.2,d,Other,Public,Yes,D,Pass,69.53333333333335,64.2
10896,16,female,public,diploma,0.6,98.9,yes,<15 min,no,coaching,53.9,55.8,48.2,42.1,e,Female,Public,Yes,E,Fail,52.633333333333326,98.9
10897,18,male,public,graduate,5.4,64.9,yes,>60 min,no,mixed,59.9,78.4,60.9,68.1,d,Male,Public,Yes,D,Pass,66.4,64.9
10898,17,male,private,graduate,1.4,93.2,yes,15-30 min,yes,group study,57.9,63.0,49.3,40.8,e,Male,Private,Yes,E,Fail,56.73333333333333,93.2
10899,17,female,public,post graduate,1.2,85.0,no,15-30 min,yes,mixed,46.8,33.2,51.4,45.1,e,Female,Public,No,E,Fail,43.800000000000004,85.0
10900,16,other,public,high school,0.7,98.3,yes,<15 min,no,coaching,40.1,47.2,40.2,38.7,f,Other,Public,Yes,F,Fail,42.50000000000001,98.3
10901,14,other,public,post graduate,7.1,86.0,yes,30-60 min,no,online videos,85.3,96.1,100.0,92.3,b,Other,Public,Yes,B,Pass,93.8,86.0
10902,14,female,private,diploma,0.8,80.5,yes,<15 min,yes,online videos,26.2,34.2,32.2,39.5,f,Female,Private,Yes,F,Fail,30.86666666666667,80.5
10903,14,female,private,diploma,4.5,73.0,yes,<15 min,yes,coaching,51.6,61.9,60.2,65.7,d,Female,Private,Yes,D,Pass,57.9,73.0
10904,17,male,public,high school,4.2,73.6,yes,>60 min,no,textbook,79.7,76.7,52.8,61.8,d,Male,Public,Yes,D,Pass,69.73333333333333,73.6
10905,17,female,private,phd,7.3,50.1,yes,30-60 min,yes,online videos,85.8,70.7,50.8,71.5,c,Female,Private,Yes,C,Pass,69.10000000000001,50.1
10906,18,male,public,post graduate,7.3,99.8,yes,<15 min,yes,textbook,100.0,85.2,81.8,95.3,a,Male,Public,Yes,A,Pass,89.0,99.8
10907,19,other,private,diploma,7.4,78.4,yes,15-30 min,yes,online videos,77.0,99.6,84.4,88.0,b,Other,Private,Yes,B,Pass,87.0,78.4
10908,15,female,public,post graduate,3.5,79.3,yes,>60 min,yes,mixed,63.3,72.5,62.8,64.4,d,Female,Public,Yes,D,Pass,66.2,79.3
10909,19,male,public,phd,4.1,59.0,yes,15-30 min,yes,coaching,51.4,68.7,74.8,66.2,d,Male,Public,Yes,D,Pass,64.96666666666665,59.0
10910,19,other,public,high school,6.7,71.6,yes,30-60 min,yes,group study,80.5,74.9,71.7,86.5,b,Other,Public,Yes,B,Pass,75.7,71.6
10911,17,other,public,high school,1.4,61.0,yes,15-30 min,yes,coaching,18.8,13.3,25.3,34.6,f,Other,Public,Yes,F,Fail,19.133333333333336,61.0
10912,17,male,private,post graduate,1.4,60.9,yes,<15 min,no,online videos,27.3,54.2,28.1,31.3,f,Male,Private,Yes,F,Fail,36.53333333333333,60.9
10913,15,male,private,high school,7.4,77.4,yes,<15 min,yes,online videos,80.1,80.7,82.4,83.6,c,Male,Private,Yes,C,Pass,81.06666666666668,77.4
10914,15,male,private,no formal,0.7,62.0,yes,<15 min,no,notes,16.8,43.9,29.8,23.3,f,Male,Private,Yes,F,Fail,30.166666666666668,62.0
10915,14,female,public,graduate,3.4,83.3,yes,>60 min,no,online videos,44.3,57.8,38.5,53.6,e,Female,Public,Yes,E,Fail,46.86666666666667,83.3
10916,17,female,private,high school,2.0,68.8,yes,<15 min,yes,online videos,43.3,52.0,61.2,44.9,e,Female,Private,Yes,E,Fail,52.166666666666664,68.8
10917,16,other,public,graduate,1.1,68.8,yes,<15 min,yes,mixed,41.8,23.6,33.5,36.5,f,Other,Public,Yes,F,Fail,32.96666666666667,68.8
10918,15,other,private,no formal,7.8,85.1,yes,<15 min,yes,coaching,100.0,100.0,100.0,100.0,a,Other,Private,Yes,A,Pass,100.0,85.1
10919,14,other,private,diploma,1.7,83.5,yes,30-60 min,no,textbook,38.5,45.1,53.1,45.5,e,Other,Private,Yes,E,Fail,45.56666666666666,83.5
10920,14,other,private,high school,3.7,70.2,yes,>60 min,yes,group study,60.3,55.1,42.0,54.4,e,Other,Private,Yes,E,Fail,52.46666666666667,70.2
10921,17,male,public,graduate,2.4,96.5,yes,15-30 min,no,online videos,53.8,56.3,40.8,48.0,e,Male,Public,Yes,E,Fail,50.29999999999999,96.5
10922,18,male,private,high school,4.2,66.4,yes,>60 min,no,textbook,58.4,44.0,31.3,54.8,e,Male,Private,Yes,E,Fail,44.56666666666667,66.4
10923,17,other,public,high school,6.3,85.9,yes,15-30 min,yes,textbook,100.0,100.0,81.1,92.8,b,Other,Public,Yes,B,Pass,93.7,85.9
10924,14,female,private,phd,5.4,89.7,yes,>60 min,no,coaching,73.8,60.9,69.8,72.3,c,Female,Private,Yes,C,Pass,68.16666666666667,89.7
10925,14,male,private,phd,4.8,60.9,yes,15-30 min,no,textbook,55.4,58.6,49.1,55.7,d,Male,Private,Yes,D,Pass,54.36666666666667,60.9
10926,14,other,private,high school,4.3,73.7,yes,15-30 min,yes,textbook,69.5,65.3,51.2,63.6,d,Other,Private,Yes,D,Pass,62.0,73.7
10927,18,male,private,graduate,1.5,51.0,yes,>60 min,no,online videos,50.5,46.2,25.9,31.6,f,Male,Private,Yes,F,Fail,40.86666666666667,51.0
10928,18,other,public,diploma,3.5,66.5,no,<15 min,no,mixed,33.4,33.1,40.8,48.8,e,Other,Public,No,E,Fail,35.766666666666666,66.5
10929,15,other,public,high school,7.3,63.5,yes,<15 min,no,notes,80.1,68.0,69.1,78.5,c,Other,Public,Yes,C,Pass,72.39999999999999,63.5
10930,14,female,public,no formal,6.7,88.6,yes,>60 min,yes,notes,92.1,99.6,98.1,96.5,a,Female,Public,Yes,A,Pass,96.59999999999998,88.6
10931,15,female,private,phd,1.0,61.0,yes,>60 min,no,textbook,30.8,21.4,23.7,41.6,e,Female,Private,Yes,E,Fail,25.3,61.0
10932,18,other,private,no formal,6.8,51.3,yes,15-30 min,yes,coaching,75.2,50.0,78.2,70.0,c,Other,Private,Yes,C,Pass,67.8,51.3
10933,14,other,private,diploma,6.7,51.2,yes,30-60 min,yes,coaching,63.9,57.9,65.8,67.2,d,Other,Private,Yes,D,Pass,62.53333333333333,51.2
10934,18,female,private,high school,6.5,88.2,no,<15 min,no,mixed,73.1,77.1,81.5,78.0,c,Female,Private,No,C,Pass,77.23333333333333,88.2
10935,16,male,public,post graduate,6.6,57.2,yes,<15 min,no,coaching,88.3,69.6,82.4,85.1,b,Male,Public,Yes,B,Pass,80.1,57.2
10936,14,male,public,no formal,7.9,82.2,yes,15-30 min,no,coaching,100.0,97.8,89.9,94.0,b,Male,Public,Yes,B,Pass,95.90000000000002,82.2
10937,19,female,private,graduate,0.9,60.1,yes,>60 min,no,mixed,25.7,44.5,19.3,36.7,f,Female,Private,Yes,F,Fail,29.833333333333332,60.1
10938,17,male,private,diploma,3.4,61.1,yes,<15 min,yes,online videos,53.8,35.6,78.7,51.7,e,Male,Private,Yes,E,Fail,56.03333333333334,61.1
10939,18,other,private,graduate,7.8,90.3,yes,>60 min,yes,online videos,100.0,100.0,100.0,97.4,a,Other,Private,Yes,A,Pass,100.0,90.3
10940,14,female,public,high school,4.6,84.1,yes,<15 min,no,group study,81.9,86.6,78.9,80.3,c,Female,Public,Yes,C,Pass,82.46666666666667,84.1
10941,16,other,private,no formal,5.6,82.7,yes,>60 min,no,group study,72.2,75.5,78.4,73.3,c,Other,Private,Yes,C,Pass,75.36666666666666,82.7
10942,17,male,private,high school,3.2,96.4,yes,30-60 min,yes,group study,68.2,84.8,67.9,70.1,c,Male,Private,Yes,C,Pass,73.63333333333334,96.4
10943,17,male,public,graduate,2.1,93.5,yes,>60 min,yes,group study,39.4,67.8,48.4,59.6,d,Male,Public,Yes,D,Pass,51.86666666666667,93.5
10944,14,female,private,graduate,7.8,92.3,yes,30-60 min,yes,online videos,79.8,100.0,87.7,98.4,a,Female,Private,Yes,A,Pass,89.16666666666667,92.3
10945,17,male,private,phd,3.2,56.8,no,>60 min,no,coaching,63.2,53.7,69.1,53.6,e,Male,Private,No,E,Fail,62.0,56.8
10946,19,other,public,phd,4.7,58.3,no,30-60 min,no,group study,86.5,73.1,64.3,66.6,d,Other,Public,No,D,Pass,74.63333333333333,58.3
10947,18,female,private,post graduate,2.3,99.1,yes,<15 min,no,textbook,67.6,51.2,60.2,51.7,e,Female,Private,Yes,E,Fail,59.666666666666664,99.1
10948,15,other,private,no formal,7.8,78.8,no,<15 min,yes,textbook,100.0,93.5,93.0,85.1,b,Other,Private,No,B,Pass,95.5,78.8
10949,19,other,private,post graduate,2.4,77.5,yes,>60 min,yes,notes,44.9,59.4,45.5,48.0,e,Other,Private,Yes,E,Fail,49.93333333333334,77.5
10950,18,male,private,post graduate,7.4,75.3,yes,<15 min,no,group study,84.6,89.3,84.8,86.0,b,Male,Private,Yes,B,Pass,86.23333333333333,75.3
10951,14,other,private,post graduate,2.7,86.8,yes,30-60 min,no,notes,43.9,52.7,49.0,55.8,d,Other,Private,Yes,D,Pass,48.53333333333333,86.8
10952,14,male,private,graduate,7.6,79.7,yes,<15 min,yes,notes,76.0,77.6,87.2,86.5,b,Male,Private,Yes,B,Pass,80.26666666666667,79.7
10953,19,other,private,post graduate,3.3,57.5,yes,30-60 min,yes,notes,52.6,49.0,54.0,44.9,e,Other,Private,Yes,E,Fail,51.86666666666667,57.5
10954,15,other,private,graduate,7.0,55.1,yes,15-30 min,no,coaching,75.6,97.0,92.9,82.5,c,Other,Private,Yes,C,Pass,88.5,55.1
10955,14,other,public,graduate,5.0,65.1,no,>60 min,yes,mixed,59.3,72.5,50.3,64.7,d,Other,Public,No,D,Pass,60.70000000000001,65.1
